y,U_ML_0,U_ML_1,U_ML_2
0.0127,0,0,0
0.0127265,4.96302,0.00166579,0
0.0127586,8.70964,0.0024807,0
0.0127974,11.9621,0.000287759,0
0.0128443,14.8834,-0.00388507,0
0.0129011,17.5587,-0.00890163,0
0.0129698,20.0497,-0.0141246,0
0.0130528,22.3882,-0.0191397,0
0.0131533,24.5671,-0.0236489,0
0.0132749,26.5598,-0.0275008,0
0.013422,28.3578,-0.0306665,0
0.0136,29.9807,-0.0331192,0
0.0138152,31.4579,-0.0348417,0
0.0140756,32.8151,-0.0359057,0
0.0143906,34.0748,-0.036483,0
0.0147717,35.258,-0.0368497,0
0.0152327,36.3817,-0.0373061,0
0.0157904,37.4563,-0.0380692,0
0.0164651,38.4874,-0.0392282,0
0.0172812,39.4821,-0.0407968,0
0.0182685,40.4562,-0.0428974,0
0.0194629,41.4301,-0.0457637,0
0.0209078,42.4193,-0.0497205,0
0.0226557,43.4319,-0.0550258,0
0.0247702,44.4594,-0.0618829,0
0.0273281,45.416,-0.0701034,0
0.0304226,46.0408,-0.0826223,0
0.034166,46.2337,-0.100795,0
0.0386945,46.2282,-0.120927,0
0.0441728,46.1926,-0.140517,0
0.0508,46.1508,-0.156718,0
0.05715,46.1094,-0.166186,0
0.0635,46.0701,-0.169118,0
0.06985,46.0335,-0.166257,0
0.0762,45.9999,-0.158197,0
0.0826262,45.9707,-0.146134,0
0.0879721,45.9479,-0.132657,0
0.0924193,45.9093,-0.119562,0
0.0961189,45.6492,-0.105109,0
0.0991966,44.8303,-0.0853541,0
0.101757,43.6077,-0.0643972,0
0.103887,42.4117,-0.0481205,0
0.105659,41.361,-0.0357636,0
0.107133,40.4334,-0.026194,0
0.108359,39.6016,-0.0188625,0
0.109379,38.8417,-0.0132664,0
0.110228,38.1283,-0.00893117,0
0.110934,37.4415,-0.00551417,0
0.111521,36.7674,-0.00282461,0
0.11201,36.0918,-0.000713125,0
0.112416,35.3987,0.000942302,0
0.112754,34.6685,0.0022429,0
0.113035,33.871,0.00327389,0
0.113269,32.9609,0.00410806,0
0.113464,31.8738,0.00479546,0
0.113626,30.5294,0.00532798,0
0.113761,28.8415,0.00561121,0
0.113873,26.7349,0.00554018,0
0.113966,24.1668,0.00512899,0
0.114043,21.115,0.00446349,0
0.114108,17.4825,0.00343108,0
0.114162,13.3048,0.00217821,0
0.114206,9.14025,0.00108152,0
0.114243,5.54355,0.000374761,0
0.114274,2.56851,8.25711e-05,0
0.1143,0,0,0
